🧩 Total Problems: 3586,,,⭐ Star me on GitHub,,,,,,,,,,Choose the Programming Language for the Prompt,Python
🕰️ Last Updated: 2025-06-18 04:52 CEST,,,🦙 Follow/Connect with me on LinkedIn,,,,,,,,,,Choose the Language for the Answer,English
ID,Problem Name,Likes,Dislikes,"Like
Ratio",Topics,Difficulty,Accepted,Submissions,"Accept
Rate",Free?,Solution?,"Video
Solution?",Category,LLM Prompt
1,Two Sum,62109,2252,96.5%,"Array, Hash Table",Easy,17517844,31414071,55.80%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '1. Two Sum'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
3,Longest Substring Without Repeating Characters,42165,2052,95.4%,"Hash Table, String, Sliding Window",Medium,7570888,20505193,36.90%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '3. Longest Substring Without Repeating Characters'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
53,Maximum Subarray,35805,1514,95.9%,"Array, Divide and Conquer, Dynamic Programming",Medium,5021365,9639487,52.10%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '53. Maximum Subarray'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
42,Trapping Rain Water,34203,604,98.3%,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",Hard,2853807,4384900,65.10%,Yes,Yes,No,Algorithms,"Please solve the LeetCode problem '42. Trapping Rain Water'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
2,Add Two Numbers,33756,6776,83.3%,"Linked List, Math, Recursion",Medium,5826000,12607904,46.20%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '2. Add Two Numbers'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
121,Best Time to Buy and Sell Stock,33340,1286,96.3%,"Array, Dynamic Programming",Easy,6455574,11684860,55.20%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '121. Best Time to Buy and Sell Stock'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
15,3Sum,33089,3106,91.4%,"Array, Two Pointers, Sorting",Medium,4770749,12873704,37.10%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '15. 3Sum'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
11,Container With Most Water,31392,2010,94.0%,"Array, Two Pointers, Greedy",Medium,4122280,7136190,57.80%,Yes,Yes,Yes,Algorithms,"Please solve the LeetCode problem '11. Container With Most Water'. Follow these steps: 1. First Intuition: Provide a high-level explanation of your approach. 2. Problem-Solving Approach: Break down the solution into clear, logical steps. 3. Code Implementation: Provide the solution in Python code. 4. Complexity Analysis: Analyze the time and space complexity of your solution. Answer in English."
